Confederacao,Selecao,Formacao,Jogador,Posicao,Sub_Funcao_Tatica
UEFA,Holanda,4-2-3-1,Cody Gakpo,LW,Inside Forward
UEFA,Holanda,4-2-3-1,Memphis Depay,ST,Complete Forward
UEFA,Turquia,3-4-2-1,Ugurcan Cakir,GK,Standard Goalkeeper
UEFA,Turquia,3-4-2-1,Merih Demiral,CB,Central Defender
UEFA,Turquia,3-4-2-1,Ozan Kabak,CB,Ball-Playing Defender
UEFA,Turquia,3-4-2-1,Abdulkerim Bardakci,CB,Wide Center Back
UEFA,Turquia,3-4-2-1,Zeki Celik,RM,Defensive Winger
UEFA,Turquia,3-4-2-1,Hakan Calhanoglu,CM,Deep-Lying Playmaker
UEFA,Turquia,3-4-2-1,Orkun Kokcu,CM,Box-to-Box Midfielder
UEFA,Turquia,3-4-2-1,Ozer,LM,Wide Midfielder (Data Anomaly)
UEFA,Turquia,3-4-2-1,Arda Guler,CAM,Advanced Playmaker
UEFA,Turquia,3-4-2-1,Kenan Yildiz,CAM,Shadow Striker
UEFA,Turquia,3-4-2-1,Kerem Akturkoglu,ST,False 9
UEFA,Áustria,4-2-3-1,Alexander Schlager,GK,Sweeper Keeper
UEFA,Áustria,4-2-3-1,Konrad Laimer,RB,Inverted Wing-Back
UEFA,Áustria,4-2-3-1,Philipp Lienhart,CB,Central Defender
UEFA,Áustria,4-2-3-1,David Alaba,CB,Ball-Playing Defender
UEFA,Áustria,4-2-3-1,Phillipp Mwene,LB,Attacking Fullback
UEFA,Áustria,4-2-3-1,Xaver Schlager,CDM,Ball-Winning Midfielder
UEFA,Áustria,4-2-3-1,Nicolas Seiwald,CDM,Deep-Lying Playmaker
UEFA,Áustria,4-2-3-1,Christoph Baumgartner,CAM,Advanced Playmaker
UEFA,Áustria,4-2-3-1,Patrick Wimmer,RW,Inside Forward
UEFA,Áustria,4-2-3-1,Marcel Sabitzer,LW,Wide Playmaker
UEFA,Áustria,4-2-3-1,Marko Arnautovic,ST,Target Man
UEFA,Suíça,4-3-3,Gregor Kobel,GK,Standard Goalkeeper
UEFA,Suíça,4-3-3,Silvan Widmer,RB,Attacking Fullback
UEFA,Suíça,4-3-3,Manuel Akanji,CB,Ball-Playing Defender
UEFA,Suíça,4-3-3,Nico Elvedi,CB,Central Defender
UEFA,Suíça,4-3-3,Ricardo Rodriguez,LB,Defensive Fullback
UEFA,Suíça,4-3-3,Remo Freuler,CM,Box-to-Box Midfielder
UEFA,Suíça,4-3-3,Granit Xhaka,CM,Deep-Lying Playmaker
UEFA,Suíça,4-3-3,Fabian Rieder,CM,Advanced Playmaker
UEFA,Suíça,4-3-3,Dan Ndoye,RW,Traditional Winger
UEFA,Suíça,4-3-3,Rubén Vargas,LW,Inside Forward
UEFA,Suíça,4-3-3,Breel Embolo,ST,Advanced Forward
UEFA,Suécia,3-4-2-1,Kristoffer Nordfeldt,GK,Standard Goalkeeper
UEFA,Suécia,3-4-2-1,Carl Starfelt,CB,Central Defender
UEFA,Suécia,3-4-2-1,Gustaf Lagerbielke,CB,Ball-Playing Defender
UEFA,Suécia,3-4-2-1,Victor Lindelof,CB,Wide Center Back
UEFA,Suécia,3-4-2-1,Gustav Svensson,RM,Wide Midfielder
UEFA,Suécia,3-4-2-1,Jesper Karlstrom,CM,Ball-Winning Midfielder
UEFA,Suécia,3-4-2-1,Yasin Ayari,CM,Advanced Playmaker
UEFA,Suécia,3-4-2-1,Gabriel Gudmundsson,LM,Wide Midfielder
UEFA,Suécia,3-4-2-1,Benjamin Nygren,CAM,Shadow Striker
UEFA,Suécia,3-4-2-1,Anthony Elanga,CAM,Inside Forward
UEFA,Suécia,3-4-2-1,Viktor Gyokeres,ST,Complete Forward
UEFA,Bélgica,4-2-3-1,Thibaut Courtois,GK,Sweeper Keeper
UEFA,Bélgica,4-2-3-1,Timothy Castagne,RB,Attacking Fullback
UEFA,Bélgica,4-2-3-1,Zeno Debast,CB,Ball-Playing Defender
UEFA,Bélgica,4-2-3-1,Arthur Theate,CB,Central Defender
UEFA,Bélgica,4-2-3-1,Maxim De Cuyper,LB,Attacking Fullback
UEFA,Bélgica,4-2-3-1,Youri Tielemans,CDM,Deep-Lying Playmaker
UEFA,Bélgica,4-2-3-1,Amadou Onana,CDM,Ball-Winning Midfielder
UEFA,Bélgica,4-2-3-1,Kevin De Bruyne,CAM,Advanced Playmaker
UEFA,Bélgica,4-2-3-1,Jeremy Doku,RW,Winger
UEFA,Bélgica,4-2-3-1,Leandro Trossard,LW,Inside Forward
UEFA,Bélgica,4-2-3-1,Charles De Ketelaere,ST,False 9
UEFA,Bósnia,4-4-2,Nikola Vasilj,GK,Standard Goalkeeper
UEFA,Bósnia,4-4-2,Amar Dedic,RB,Attacking Fullback
UEFA,Bósnia,4-4-2,Nikola Katic,CB,Central Defender
UEFA,Bósnia,4-4-2,Tarik Muharemovic,CB,Ball-Playing Defender
UEFA,Bósnia,4-4-2,Sead Kolasinac,LB,Defensive Fullback
UEFA,Bósnia,4-4-2,Esmir Bajraktarevic,RM,Winger
UEFA,Bósnia,4-4-2,Ivan Sunjic,CM,Ball-Winning Midfielder
UEFA,Bósnia,4-4-2,Benjamin Tahirovic,CM,Deep-Lying Playmaker
UEFA,Bósnia,4-4-2,Amar Memic,LM,Wide Midfielder
UEFA,Bósnia,4-4-2,Ermedin Demirovic,ST,Advanced Forward
UEFA,Bósnia,4-4-2,Edin Dzeko,ST,Target Man
UEFA,Noruega,4-3-3,Ørjan Nyland,GK,Standard Goalkeeper
UEFA,Noruega,4-3-3,Julian Ryerson,RB,Defensive Fullback
UEFA,Noruega,4-3-3,Colin Heggem,CB,Central Defender
UEFA,Noruega,4-3-3,Leo Ostigard,CB,Ball-Playing Defender
UEFA,Noruega,4-3-3,David Møller Wolfe,LB,Attacking Fullback
UEFA,Noruega,4-3-3,Kristian Thorstvedt,CM,Box-to-Box Midfielder
UEFA,Noruega,4-3-3,Patrick Berg,CM,Deep-Lying Playmaker
UEFA,Noruega,4-3-3,Sander Berge,CM,Ball-Winning Midfielder
UEFA,Noruega,4-3-3,Alexander Sorloth,RW,Target Man (Wide)
UEFA,Noruega,4-3-3,Antonio Nusa,LW,Inside Forward
UEFA,Noruega,4-3-3,Erling Haaland,ST,Poacher
UEFA,Croácia,4-2-3-1,Livakovic,GK,N/A
UEFA,Croácia,4-2-3-1,Stanisic,RB,N/A
UEFA,Croácia,4-2-3-1,Sutalo,CB,N/A
UEFA,Croácia,4-2-3-1,Caleta-Car,CB,N/A
UEFA,Croácia,4-2-3-1,Gvardiol,LB,N/A
UEFA,Croácia,4-2-3-1,Sucic,CDM,N/A
UEFA,Croácia,4-2-3-1,Modric,CDM,N/A
UEFA,Croácia,4-2-3-1,Pasalic,RW,N/A
UEFA,Croácia,4-2-3-1,Kramaric,CAM,N/A
UEFA,Croácia,4-2-3-1,Perisic,LW,N/A
UEFA,Croácia,4-2-3-1,Budimir,ST,N/A
UEFA,França,4-2-3-1,Maignan,GK,N/A
UEFA,França,4-2-3-1,Koundé,RB,N/A
UEFA,França,4-2-3-1,Saliba,CB,N/A
UEFA,França,4-2-3-1,Upamecano,CB,N/A
UEFA,França,4-2-3-1,Hernandez,LB,N/A
UEFA,França,4-2-3-1,Rabiot,CDM,N/A
UEFA,França,4-2-3-1,Tchouameni,CDM,N/A
UEFA,França,4-2-3-1,Dembelé,RW,N/A
UEFA,França,4-2-3-1,Olise,CAM,N/A
UEFA,França,4-2-3-1,Doué,LW,N/A
UEFA,França,4-2-3-1,Mbappé,ST,N/A
UEFA,Alemanha,4-2-3-1,Neuer,GK,N/A
UEFA,Alemanha,4-2-3-1,Kimmich,RB,N/A
UEFA,Alemanha,4-2-3-1,Tah,CB,N/A
UEFA,Alemanha,4-2-3-1,Schlotterbeck,CB,N/A
UEFA,Alemanha,4-2-3-1,Raum,LB,N/A
UEFA,Alemanha,4-2-3-1,Pavlovic,CDM,N/A
UEFA,Alemanha,4-2-3-1,Goretzka,CDM,N/A
UEFA,Alemanha,4-2-3-1,Sané,RW,N/A
UEFA,Alemanha,4-2-3-1,Musiala,CAM,N/A
UEFA,Alemanha,4-2-3-1,Wirtz,LW,N/A
UEFA,Alemanha,4-2-3-1,Havertz,ST,N/A
UEFA,Portugal,4-3-3,Costa,GK,N/A
UEFA,Portugal,4-3-3,Cancelo,RB,N/A
UEFA,Portugal,4-3-3,Ruben Dias,CB,N/A
UEFA,Portugal,4-3-3,Inacio,CB,N/A
UEFA,Portugal,4-3-3,Nuno Mendes,LB,N/A
UEFA,Portugal,4-3-3,Joao Neves,CM,N/A
UEFA,Portugal,4-3-3,Vitinha,CM,N/A
UEFA,Portugal,4-3-3,Bruno Fernandes,CM,N/A
UEFA,Portugal,4-3-3,Bernardo Silva,RW,N/A
UEFA,Portugal,4-3-3,Cristiano Ronaldo,ST,N/A
UEFA,Portugal,4-3-3,Joao Felix,LW,N/A
UEFA,Rep. Tcheca,3-4-2-1,Hornicek,GK,N/A
UEFA,Rep. Tcheca,3-4-2-1,Chaloupek,CB,N/A
UEFA,Rep. Tcheca,3-4-2-1,Hranac,CB,N/A
UEFA,Rep. Tcheca,3-4-2-1,Krejci,CB,N/A
UEFA,Rep. Tcheca,3-4-2-1,Coufal,RM,N/A
UEFA,Rep. Tcheca,3-4-2-1,Soucek,CM,N/A
UEFA,Rep. Tcheca,3-4-2-1,Darida,CM,N/A
UEFA,Rep. Tcheca,3-4-2-1,Zeleny,LM,N/A
UEFA,Rep. Tcheca,3-4-2-1,Provod,CAM,N/A
UEFA,Rep. Tcheca,3-4-2-1,Sulc,CAM,N/A
UEFA,Rep. Tcheca,3-4-2-1,Schick,ST,N/A
CONMEBOL,Brasil,4-4-2,Alisson Becker,GK,Sweeper Keeper
CONMEBOL,Brasil,4-4-2,Wesley,RB,Attacking Fullback
CONMEBOL,Brasil,4-4-2,Marquinhos,CB,Ball-Playing Defender
CONMEBOL,Brasil,4-4-2,Gabriel Magalhães,CB,Central Defender
CONMEBOL,Brasil,4-4-2,Douglas Santos,LB,Support Fullback
CONMEBOL,Brasil,4-4-2,Casemiro,CM,Ball-Winning Midfielder
CONMEBOL,Brasil,4-4-2,Bruno Guimaraes,CM,Deep-Lying Playmaker
CONMEBOL,Brasil,4-4-2,Raphinha,RM,Wide Playmaker
CONMEBOL,Brasil,4-4-2,Luiz Henrique,LM,Winger
CONMEBOL,Brasil,4-4-2,Vinicius Junior,ST,Advanced Forward
CONMEBOL,Brasil,4-4-2,Matheus Cunha,ST,Complete Forward
CONMEBOL,Uruguai,4-3-3,Sergio Rochet,GK,Standard Goalkeeper
CONMEBOL,Uruguai,4-3-3,Guillermo Varela,RB,Attacking Fullback
CONMEBOL,Uruguai,4-3-3,Jose Maria Gimenez,CB,Central Defender
CONMEBOL,Uruguai,4-3-3,Ronald Araujo,CB,Ball-Playing Defender
CONMEBOL,Uruguai,4-3-3,Mathias Olivera,LB,Attacking Fullback
CONMEBOL,Uruguai,4-3-3,Manuel Ugarte,CM,Ball-Winning Midfielder
CONMEBOL,Uruguai,4-3-3,Federico Valverde,CM,Box-to-Box Midfielder
CONMEBOL,Uruguai,4-3-3,Rodrigo Bentancur,CM,Deep-Lying Playmaker
CONMEBOL,Uruguai,4-3-3,Agustin Canobbio,RW,Winger
CONMEBOL,Uruguai,4-3-3,Brian Rodriguez,LW,Inside Forward
CONMEBOL,Uruguai,4-3-3,Darwin Nunez,ST,Advanced Forward
CONMEBOL,Paraguai,4-4-2,Orlando Gill,GK,Standard Goalkeeper
CONMEBOL,Paraguai,4-4-2,Juan Jose Caceres,RB,Defensive Fullback
CONMEBOL,Paraguai,4-4-2,Gustavo Gomez,CB,Central Defender
CONMEBOL,Paraguai,4-4-2,Omar Alderete,CB,Ball-Playing Defender
CONMEBOL,Paraguai,4-4-2,Junior Alonso,LB,Support Fullback
CONMEBOL,Paraguai,4-4-2,Diego Gomez,RM,Wide Midfielder
CONMEBOL,Paraguai,4-4-2,Braian Ojeda,CM,Deep-Lying Playmaker
CONMEBOL,Paraguai,4-4-2,Damian Bobadilla,CM,Box-to-Box Midfielder
CONMEBOL,Paraguai,4-4-2,Miguel Almiron,LM,Inverted Winger
CONMEBOL,Paraguai,4-4-2,Julio Enciso,ST,Deep-Lying Forward
CONMEBOL,Paraguai,4-4-2,Gabriel Avalos,ST,Target Man
CONMEBOL,Colômbia,4-2-3-1,Alvaro Montero,GK,Standard Goalkeeper
CONMEBOL,Colômbia,4-2-3-1,Daniel Munoz,RB,Attacking Fullback
CONMEBOL,Colômbia,4-2-3-1,Davinson Sanchez,CB,Central Defender
CONMEBOL,Colômbia,4-2-3-1,Yerry Mina,CB,Target Defender
CONMEBOL,Colômbia,4-2-3-1,Johan Mojica,LB,Wing-Back
CONMEBOL,Colômbia,4-2-3-1,Jefferson Lerma,CDM,Ball-Winning Midfielder
CONMEBOL,Colômbia,4-2-3-1,Richard Rios,CDM,Box-to-Box Midfielder
CONMEBOL,Colômbia,4-2-3-1,Jhon Arias,RW,Wide Playmaker
CONMEBOL,Colômbia,4-2-3-1,James Rodriguez,CAM,Advanced Playmaker
CONMEBOL,Colômbia,4-2-3-1,Luis Diaz,LW,Inside Forward
CONMEBOL,Colômbia,4-2-3-1,Luis Suarez,ST,Advanced Forward
CONMEBOL,Argentina,4-3-3,Martinez,GK,N/A
CONMEBOL,Argentina,4-3-3,Molina,RB,N/A
CONMEBOL,Argentina,4-3-3,Otamendi,CB,N/A
CONMEBOL,Argentina,4-3-3,Romero,CB,N/A
CONMEBOL,Argentina,4-3-3,Tagliafico,LB,N/A
CONMEBOL,Argentina,4-3-3,Mac Allister,CM,N/A
CONMEBOL,Argentina,4-3-3,Paredes,CM,N/A
CONMEBOL,Argentina,4-3-3,Fernandez,CM,N/A
CONMEBOL,Argentina,4-3-3,Messi,RW,N/A
CONMEBOL,Argentina,4-3-3,Alvarez,ST,N/A
CONMEBOL,Argentina,4-3-3,Almada,LW,N/A
CONMEBOL,Equador,4-3-3,Galindez,GK,N/A
CONMEBOL,Equador,4-3-3,Preciado,RB,N/A
CONMEBOL,Equador,4-3-3,Ordonez,CB,N/A
CONMEBOL,Equador,4-3-3,Pacho,CB,N/A
CONMEBOL,Equador,4-3-3,HIncapié,LB,N/A
CONMEBOL,Equador,4-3-3,Vite,CM,N/A
CONMEBOL,Equador,4-3-3,Caicedo,CM,N/A
CONMEBOL,Equador,4-3-3,Castillo,CM,N/A
CONMEBOL,Equador,4-3-3,Yeboah,RW,N/A
CONMEBOL,Equador,4-3-3,Valencia,ST,N/A
CONMEBOL,Equador,4-3-3,Angulo,LW,N/A
CONCACAF,EUA,4-3-3,Matt Freese,GK,Sweeper Keeper
CONCACAF,EUA,4-3-3,Alex Freeman,RB,Attacking Fullback
CONCACAF,EUA,4-3-3,Chris Richards,CB,Ball-Playing Defender
CONCACAF,EUA,4-3-3,Auston Trusty,CB,Central Defender
CONCACAF,EUA,4-3-3,Antonee Robinson,LB,Complete Wing-Back
CONCACAF,EUA,4-3-3,Tyler Adams,CM,Ball-Winning Midfielder
CONCACAF,EUA,4-3-3,Weston McKennie,CM,Box-to-Box Midfielder
CONCACAF,EUA,4-3-3,Sebastian Berhalter,CM,Deep-Lying Playmaker
CONCACAF,EUA,4-3-3,Timothy Weah,RW,Winger
CONCACAF,EUA,4-3-3,Christian Pulisic,LW,Inside Forward
CONCACAF,EUA,4-3-3,Folarin Balogun,ST,Advanced Forward
CONCACAF,Canadá,4-4-2,Maxime Crepeau,GK,Standard Goalkeeper
CONCACAF,Canadá,4-4-2,Niko Sigur,RB,Defensive Fullback
CONCACAF,Canadá,4-4-2,Moise Bombito,CB,Ball-Playing Defender
CONCACAF,Canadá,4-4-2,Alfie Jones,CB,Central Defender
CONCACAF,Canadá,4-4-2,Richie Laryea,LB,Attacking Fullback
CONCACAF,Canadá,4-4-2,Tajon Buchanan,RM,Winger
CONCACAF,Canadá,4-4-2,Ismael Koné,CM,Box-to-Box Midfielder
CONCACAF,Canadá,4-4-2,Stephen Eustaquio,CM,Deep-Lying Playmaker
CONCACAF,Canadá,4-4-2,Alphonso Davies,LM,Inverted Winger
CONCACAF,Canadá,4-4-2,Tani Oluwaseyi,ST,Pressing Forward
CONCACAF,Canadá,4-4-2,Jonathan David,ST,Complete Forward
CONCACAF,México,4-3-3,Raul Rangel,GK,Standard Goalkeeper
CONCACAF,México,4-3-3,Jorge Sanchez,RB,Attacking Fullback
CONCACAF,México,4-3-3,Cesar Montes,CB,Central Defender
CONCACAF,México,4-3-3,Johan Vasquez,CB,Ball-Playing Defender
CONCACAF,México,4-3-3,Jesus Gallardo,LB,Wing-Back
CONCACAF,México,4-3-3,Edson Alvarez,CM,Ball-Winning Midfielder
CONCACAF,México,4-3-3,Orbelin Pineda,CM,Box-to-Box Midfielder
CONCACAF,México,4-3-3,Alvaro Fidalgo,CM,Deep-Lying Playmaker
CONCACAF,México,4-3-3,Alexis Vega,RW,Inside Forward
CONCACAF,México,4-3-3,Julian Quinones,LW,Winger
CONCACAF,México,4-3-3,Raul Jimenez,ST,Target Man
CONCACAF,Panamá,3-4-2-1,Orlando Mosquera,GK,Sweeper Keeper
CONCACAF,Panamá,3-4-2-1,Jose Cordoba,CB,Ball-Playing Defender
CONCACAF,Panamá,3-4-2-1,Andres Andrade,CB,Central Defender
CONCACAF,Panamá,3-4-2-1,Edgardo Farina,CB,Wide Center Back
CONCACAF,Panamá,3-4-2-1,Michael Murillo,RWB,Complete Wing-Back
CONCACAF,Panamá,3-4-2-1,Eric Davis,LWB,Wing-Back
CONCACAF,Panamá,3-4-2-1,Adalberto Carrasquilla,CM,Advanced Playmaker
CONCACAF,Panamá,3-4-2-1,Anibal Godoy,CM,Ball-Winning Midfielder
CONCACAF,Panamá,3-4-2-1,Edgar Barcenas,CAM,Shadow Striker
CONCACAF,Panamá,3-4-2-1,Ismael Diaz,CAM,Inside Forward
CONCACAF,Panamá,3-4-2-1,Jose Fajardo,ST,Advanced Forward
CONCACAF,Curaçao,4-3-3,Room,GK,N/A
CONCACAF,Curaçao,4-3-3,Sambo,RB,N/A
CONCACAF,Curaçao,4-3-3,Van Ejma,CB,N/A
CONCACAF,Curaçao,4-3-3,Obispo,CB,N/A
CONCACAF,Curaçao,4-3-3,Floranus,LB,N/A
CONCACAF,Curaçao,4-3-3,J. Bacuna,CM,N/A
CONCACAF,Curaçao,4-3-3,Comenancia,CM,N/A
CONCACAF,Curaçao,4-3-3,L. Bacuna,CM,N/A
CONCACAF,Curaçao,4-3-3,Chong,RW,N/A
CONCACAF,Curaçao,4-3-3,Locadia,ST,N/A
CONCACAF,Curaçao,4-3-3,Gorré,LW,N/A
CONCACAF,Haiti,4-3-3,Placide,GK,N/A
CONCACAF,Haiti,4-3-3,Arcus,RB,N/A
CONCACAF,Haiti,4-3-3,Adé,CB,N/A
CONCACAF,Haiti,4-3-3,Duverne,CB,N/A
CONCACAF,Haiti,4-3-3,Expérience,LB,N/A
CONCACAF,Haiti,4-3-3,Deedson,CM,N/A
CONCACAF,Haiti,4-3-3,Bellegarde,CM,N/A
CONCACAF,Haiti,4-3-3,Pierre,CM,N/A
CONCACAF,Haiti,4-3-3,Isidor,RW,N/A
CONCACAF,Haiti,4-3-3,Nazon,ST,N/A
CONCACAF,Haiti,4-3-3,Providence,LW,N/A
CAF,Senegal,4-2-3-1,Edouard Mendy,GK,Standard Goalkeeper
CAF,Senegal,4-2-3-1,Krépin Diatta,RB,Inverted Wing-Back
CAF,Senegal,4-2-3-1,Kalidou Koulibaly,CB,Central Defender
CAF,Senegal,4-2-3-1,Moussa Niakhaté,CB,Ball-Playing Defender
CAF,Senegal,4-2-3-1,Ismail Jakobs,LB,Attacking Fullback
CAF,Senegal,4-2-3-1,Idrissa Gueye,CDM,Ball-Winning Midfielder
CAF,Senegal,4-2-3-1,Pape Gueye,CDM,Deep-Lying Playmaker
CAF,Senegal,4-2-3-1,Iliman Ndiaye,CAM,Advanced Playmaker
CAF,Senegal,4-2-3-1,Ismaila Sarr,RW,Winger
CAF,Senegal,4-2-3-1,Sadio Mané,LW,Inside Forward
CAF,Senegal,4-2-3-1,Nicolas Jackson,ST,Advanced Forward
CAF,Costa do Marfim,4-3-3,Yahia Fofana,GK,Sweeper Keeper
CAF,Costa do Marfim,4-3-3,Guela Doué,RB,Attacking Fullback
CAF,Costa do Marfim,4-3-3,Odilon Kossounou,CB,Ball-Playing Defender
CAF,Costa do Marfim,4-3-3,Evan Ndicka,CB,Central Defender
CAF,Costa do Marfim,4-3-3,Ghislain Konan,LB,Support Fullback
CAF,Costa do Marfim,4-3-3,Franck Kessié,CM,Box-to-Box Midfielder
CAF,Costa do Marfim,4-3-3,Ibrahim Sangaré,CM,Ball-Winning Midfielder
CAF,Costa do Marfim,4-3-3,Christ Oulai,CM,Deep-Lying Playmaker
CAF,Costa do Marfim,4-3-3,Nicolas Pepé,RW,Inside Forward
CAF,Costa do Marfim,4-3-3,Ousmane Diomandé,LW,Winger
CAF,Costa do Marfim,4-3-3,Evann Guessand,ST,Complete Forward
CAF,Marrocos,4-2-3-1,Yassine Bounou,GK,Sweeper Keeper
CAF,Marrocos,4-2-3-1,Achraf Hakimi,RB,Complete Wing-Back
CAF,Marrocos,4-2-3-1,Issa Diop,CB,Central Defender
CAF,Marrocos,4-2-3-1,Nayef Aguerd,CB,Ball-Playing Defender
CAF,Marrocos,4-2-3-1,Anass Salah-Eddine,LB,Support Fullback
CAF,Marrocos,4-2-3-1,Azzedine Ounahi,CDM,Box-to-Box Midfielder
CAF,Marrocos,4-2-3-1,Neil El Aynaoui,CDM,Deep-Lying Playmaker
CAF,Marrocos,4-2-3-1,Ismael Saibari,CAM,Shadow Striker
CAF,Marrocos,4-2-3-1,Brahim Diaz,RW,Advanced Playmaker
CAF,Marrocos,4-2-3-1,Chemsdine Talbi,LW,Winger
CAF,Marrocos,4-2-3-1,Ayoub El Kaabi,ST,Poacher
CAF,Tunísia,4-3-3,Aymen Dahmen,GK,Standard Goalkeeper
CAF,Tunísia,4-3-3,Yan Valery,RB,Attacking Fullback
CAF,Tunísia,4-3-3,Dylan Bronn,CB,Central Defender
CAF,Tunísia,4-3-3,Montassar Talbi,CB,Ball-Playing Defender
CAF,Tunísia,4-3-3,Ali Abdi,LB,Wing-Back
CAF,Tunísia,4-3-3,Ellyes Skhiri,CM,Ball-Winning Midfielder
CAF,Tunísia,4-3-3,Hannibal Mejbri,CM,Advanced Playmaker
CAF,Tunísia,4-3-3,Ismael Gharbi,CM,Mezzala
CAF,Tunísia,4-3-3,Elias Achouri,RW,Winger
CAF,Tunísia,4-3-3,Sebastian Tounekti,LW,Inside Forward
CAF,Tunísia,4-3-3,Hazem Mastouri,ST,Target Man
CAF,África do Sul,4-2-3-1,Ronwen Williams,GK,Sweeper Keeper
CAF,África do Sul,4-2-3-1,Khuliso Mudau,RB,Attacking Fullback
CAF,África do Sul,4-2-3-1,Nkosinathi Sibisi,CB,Central Defender
CAF,África do Sul,4-2-3-1,Khulumani Ndamane,CB,Ball-Playing Defender
CAF,África do Sul,4-2-3-1,Aubrey Modiba,LB,Support Fullback
CAF,África do Sul,4-2-3-1,Sphephelo Sithole,CDM,Ball-Winning Midfielder
CAF,África do Sul,4-2-3-1,Teboho Mokoena,CDM,Deep-Lying Playmaker
CAF,África do Sul,4-2-3-1,Themba Zwane,CAM,Advanced Playmaker
CAF,África do Sul,4-2-3-1,Oswin Appollis,RW,Winger
CAF,África do Sul,4-2-3-1,Relebohile Mofokeng,LW,Inside Forward
CAF,África do Sul,4-2-3-1,Lyle Foster,ST,Advanced Forward
CAF,Cabo Verde,4-2-3-1,Vozinha,GK,Sweeper Keeper
CAF,Cabo Verde,4-2-3-1,Steven Moreira,RB,Defensive Fullback
CAF,Cabo Verde,4-2-3-1,Roberto Lopes,CB,Central Defender
CAF,Cabo Verde,4-2-3-1,Edilson Borges,CB,Ball-Playing Defender
CAF,Cabo Verde,4-2-3-1,Sidny Lopes Cabral,LB,Attacking Fullback
CAF,Cabo Verde,4-2-3-1,Kevin Pina (Lenini),CDM,Ball-Winning Midfielder
CAF,Cabo Verde,4-2-3-1,Laros Duarte,CDM,Deep-Lying Playmaker
CAF,Cabo Verde,4-2-3-1,Jamiro Monteiro,CAM,Advanced Playmaker
CAF,Cabo Verde,4-2-3-1,Garry Rodrigues,RW,Winger
