Tabela: Teams for 2026
Country,P,W,D,L,GF,GA,GD,Last 5,PPG,xG,xGA,BTTS%,CS%,Corners,Cards,AVG
Germany,10,9,0,1,28,8,20,WWWWW,2.70,2.12,0.81,40%,50%,10.4,13,3.6
Austria,10,8,1,1,27,4,23,WDWWW,2.50,1.54,0.93,30%,60%,7.7,20,3.1
France,10,8,1,1,25,9,16,WWWLW,2.50,2.23,0.75,70%,30%,8.5,16,3.4
Turkey,10,8,1,1,25,13,12,DWWWW,2.50,1.57,1.3,50%,40%,11.5,23,3.8
Argentina,10,8,1,1,25,3,22,WWWWW,2.50,1.74,0.75,20%,70%,7.3,18,2.8
Spain,10,7,3,0,28,4,24,DWDDW,2.40,2.36,0.64,30%,70%,9.4,6,3.2
Belgium,10,7,3,0,37,6,31,WWDWW,2.40,2.45,0.73,40%,60%,11.8,11,4.3
Japan,10,7,2,1,14,6,8,WWWWW,2.30,1.37,1.14,20%,70%,7.6,13,2
Algeria,10,7,2,1,19,4,15,WLWDW,2.30,1.37,1.05,20%,70%,9.1,18,2.3
Senegal,10,7,2,1,17,6,11,WWWLD,2.30,1.59,1.12,40%,60%,10.2,23,2.3
England,10,7,1,2,22,5,17,WWDLW,2.20,2.02,0.7,20%,70%,9.4,10,2.7
Croatia,10,7,1,2,19,10,9,WWLLW,2.20,2.02,1,50%,40%,10.9,13,2.9
Ivory Coast,10,7,1,2,19,8,11,WLWWW,2.20,1.39,0.91,40%,50%,9.2,8,2.7
Colombia,10,7,1,2,25,10,15,WLLWW,2.20,1.56,1.04,50%,50%,7.4,7,3.5
Portugal,10,6,3,1,26,10,16,LWDWW,2.10,2.28,1.03,50%,40%,8.6,17,3.6
Norway,10,6,3,1,31,8,23,WLDWD,2.10,1.82,0.98,70%,30%,8.2,6,3.9
Netherlands,10,6,3,1,22,8,14,WWDLW,2.10,1.7,0.87,60%,30%,8.9,8,3
Mexico,10,6,3,1,16,4,12,DDWWW,2.10,1.38,0.82,30%,70%,7.78,21,2
Morocco,10,6,3,1,19,4,15,DWWWD,2.10,1.63,0.8,30%,60%,8.77,13,2.3
Congo DR,10,6,3,1,12,3,9,WLWWD,2.10,1.4,1.13,20%,70%,7.75,6,1.5
Czech Republic,10,5,4,1,20,9,11,WDDWW,1.90,1.57,1.16,60%,40%,9.22,9,2.9
Switzerland,10,5,4,1,22,8,14,DLDWD,1.90,1.43,1,50%,50%,8,7,3
Scotland,10,6,1,3,21,10,11,WLLWW,1.90,1.48,1.52,50%,30%,10.9,15,3.1
South Korea,10,6,1,3,15,12,3,WLLWW,1.90,1.21,1.11,10%,60%,8.4,13,2.7
Brazil,10,6,1,3,25,11,14,DLWWW,1.90,1.7,1.18,60%,30%,7.3,13,3.6
Cape Verde,10,5,4,1,19,9,10,DLDWW,1.90,1.46,0.95,40%,60%,8.89,15,2.8
Ecuador,10,4,6,0,12,5,7,WDDWW,1.80,1.32,0.91,50%,50%,8.1,21,1.7
Egypt,10,5,3,2,13,6,7,DWDLW,1.80,0.92,1.5,30%,60%,8.5,18,1.9
Jordan,10,5,2,3,17,15,2,LDDLL,1.70,1.34,1.38,60%,30%,9.9,10,3.2
Iraq,10,5,2,3,11,10,1,LWWDL,1.70,0.97,1.4,50%,20%,9.3,18,2.1
Uzbekistan,10,5,2,3,14,7,7,DWDLL,1.70,1.2,1.35,30%,60%,8.6,7,2.1
Canada,10,4,5,1,9,4,5,WDDWD,1.70,1.33,0.68,20%,70%,9.3,31,1.3
Australia,10,5,1,4,13,10,3,LWWLD,1.60,0.88,1.27,40%,30%,6.5,10,2.3
Uruguay,10,4,4,2,10,9,1,WDLDD,1.60,1.14,1.11,30%,60%,9.33,20,1.9
USA,10,5,1,4,18,17,1,LLWWL,1.60,1.49,1.12,70%,10%,10.5,15,3.5
Panama,10,4,4,2,18,16,2,DWLWD,1.60,1.56,1.51,80%,10%,8.6,16,3.4
Bosnia And Herzegovina,10,3,6,1,20,10,10,DDDDD,1.50,1.79,1.09,80%,20%,8.6,25,3
Iran,10,4,3,3,17,8,9,DDLWW,1.50,1.4,0.84,40%,50%,7.88,8,2.5
South Africa,10,4,3,3,14,10,4,WLDLD,1.50,1.77,0.73,60%,30%,8.8,21,2.4
Haiti,10,4,3,3,15,10,5,WLDWL,1.50,1.29,1.52,30%,50%,9.5,18,2.5
Curaçao,10,4,3,3,19,14,5,DLLLW,1.50,1.25,1.56,40%,50%,7.89,11,3.3
Paraguay,10,4,2,4,12,10,2,LWWLW,1.40,1.21,1.09,40%,40%,8.9,20,2.2
Tunisia,10,3,4,3,13,14,-1,DWDLL,1.30,1.19,1.42,50%,30%,10.1,18,2.7
Saudi Arabia,10,3,2,5,10,12,-2,LLLWD,1.10,1.05,1.23,40%,30%,7.4,14,2.2
Ghana,10,3,2,5,11,14,-3,LLLLD,1.10,1.03,1.3,40%,30%,8.7,16,2.5
Sweden,10,2,3,5,13,20,-7,DWWLD,0.90,1.21,1.52,70%,0%,9.1,16,3.3
Qatar,10,1,4,5,7,15,-8,LDLLD,0.70,1.15,1.25,50%,20%,8.7,11,2.2
New Zealand,10,1,1,8,7,18,-11,LLWLL,0.40,1.13,1.75,40%,0%,9.6,10,2.5

Tabela: Over 2.5 Goals (0.5, 1.5, 3.5)
Country,2.5+,1.5+,3.5+,AVG
Portugal,8.6,60%,50%,30%,20%,10%,10%,10%
Bosnia And Herzegovina,8.6,50%,30%,30%,30%,20%,20%,20%
Uzbekistan,8.6,60%,50%,20%,10%,10%,10%,10%
Panama,8.6,60%,50%,50%,30%,20%,10%,0%
France,8.5,60%,50%,30%,10%,10%,10%,10%
Egypt,8.5,60%,50%,50%,30%,0%,0%,0%
South Korea,8.4,80%,50%,40%,20%,20%,10%,0%
Norway,8.2,60%,40%,20%,10%,10%,10%,10%
Ecuador,8.1,50%,50%,50%,30%,20%,0%,0%
Switzerland,8,40%,40%,30%,10%,10%,10%,0%
Curaçao,7.89,44%,44%,44%,44%,22%,11%,11%
Iran,7.88,50%,50%,50%,38%,25%,25%,13%
Mexico,7.78,56%,33%,33%,11%,11%,0%,0%
Congo DR,7.75,63%,38%,38%,13%,13%,0%,0%
Austria,7.7,50%,40%,30%,10%,0%,0%,0%
Japan,7.6,40%,40%,30%,30%,20%,10%,0%
Saudi Arabia,7.4,50%,30%,30%,30%,10%,0%,0%
Colombia,7.4,40%,40%,30%,20%,20%,20%,20%
Argentina,7.3,50%,50%,40%,10%,0%,0%,0%
Brazil,7.3,50%,20%,10%,10%,10%,10%,10%
Australia,6.5,40%,30%,0%,0%,0%,0%,0%

Tabela: Total Cards Per Game
Country,AVG,0.5+,1.5+,2.5+,3.5+,4.5+,5.5+,6.5+
Canada,3.1,100%,100%,100%,70%,50%,40%,20%
Bosnia And Herzegovina,2.5,100%,80%,80%,60%,50%,50%,30%
Turkey,2.3,90%,80%,70%,40%,30%,30%,20%
Senegal,2.3,100%,80%,60%,50%,40%,40%,30%
Ecuador,2.1,100%,80%,70%,70%,30%,30%,10%
Mexico,2.1,100%,100%,60%,50%,40%,30%,20%
South Africa,2.1,100%,100%,70%,60%,50%,40%,30%
Austria,2,100%,90%,80%,50%,40%,20%,10%
Uruguay,2,90%,90%,70%,50%,50%,20%,20%
Paraguay,2,100%,70%,60%,40%,30%,30%,20%
Iraq,1.8,100%,80%,80%,70%,40%,30%,20%
Argentina,1.8,90%,80%,60%,40%,40%,30%,30%
Algeria,1.8,80%,80%,80%,60%,60%,20%,20%
Haiti,1.8,90%,80%,60%,40%,40%,20%,10%
Egypt,1.8,100%,100%,70%,30%,30%,10%,10%
Tunisia,1.8,100%,100%,80%,50%,40%,30%,10%
Portugal,1.7,100%,80%,60%,50%,30%,30%,30%
Cape Verde,1.67,89%,89%,56%,44%,22%,11%,0%
Sweden,1.6,100%,90%,60%,40%,30%,10%,10%
France,1.6,80%,70%,50%,30%,20%,20%,20%
Ghana,1.6,90%,90%,40%,10%,0%,0%,0%
Panama,1.6,100%,70%,50%,20%,10%,10%,10%
Scotland,1.5,90%,90%,70%,60%,40%,30%,10%
USA,1.5,100%,80%,50%,40%,20%,10%,10%
Morocco,1.44,100%,89%,67%,67%,56%,56%,33%
Saudi Arabia,1.4,80%,70%,40%,20%,20%,10%,0%
Germany,1.3,80%,70%,70%,60%,30%,10%,0%
Croatia,1.3,80%,80%,60%,40%,0%,0%,0%
Japan,1.3,90%,80%,50%,10%,0%,0%,0%
South Korea,1.3,90%,60%,60%,40%,10%,0%,0%
Brazil,1.3,100%,90%,40%,40%,20%,10%,10%
Curaçao,1.22,67%,56%,56%,56%,44%,33%,0%
Belgium,1.1,100%,90%,60%,40%,30%,10%,10%
Qatar,1.1,100%,80%,40%,40%,10%,10%,10%
England,1,90%,80%,60%,20%,10%,0%,0%
Jordan,1,90%,70%,60%,40%,20%,0%,0%
Australia,1,80%,70%,40%,40%,20%,0%,0%
New Zealand,1,80%,30%,20%,20%,0%,0%,0%
Czech Republic,0.9,100%,70%,60%,40%,30%,10%,0%
Iran,0.89,89%,78%,44%,33%,11%,0%,0%
Netherlands,0.8,80%,70%,40%,30%,10%,10%,10%
Ivory Coast,0.8,70%,60%,40%,10%,0%,0%,0%
Uzbekistan,0.78,67%,56%,44%,22%,0%,0%,0%
Congo DR,0.75,75%,50%,38%,38%,25%,13%,0%
Switzerland,0.7,70%,60%,30%,20%,20%,0%,0%
Colombia,0.7,100%,80%,60%,40%,0%,0%,0%
Spain,0.6,70%,30%,30%,30%,20%,10%,0%
Norway,0.6,80%,40%,10%,10%,0%,0%,0%

Tabela: Most Clean Sheets - Last 15
Player,Clean Sheets,Played,Conceded,Conceded Per 90
José Raúl Rangel Aguilar,7,11,5,0.5
Unai Simón,6,9,4,0.47
Jordan Pickford,6,7,1,0.15
Edouard Mendy,5,9,5,0.56
Hernán Ismael Galíndez,5,8,3,0.38
Mostafa Ahmed Shobeir,5,7,2,0.39
Josimar José Évora Dias,5,7,7,1.08
Oliver Baumann,5,9,7,0.78
Thibaut Courtois,5,6,2,0.33
Luca Zinedine Zidane,5,6,2,0.33
Lionel Mpasi-Nzau,5,8,2,0.24
Abduvohid Nematov,4,6,3,0.5
Yassine Bounou,4,8,3,0.38
Gregor Kobel,4,8,7,0.88
Johny Placide,4,6,5,0.91

Tabela: Most Carded Teams
Country,1.5+,2.5+,3.5+,4.5+
Canada,100%,60%,20%,10%
Bosnia And Herzegovina,80%,50%,30%,10%
Cape Verde,67%,11%,0%,0%
Portugal,60%,20%,10%,0%
Iraq,60%,30%,10%,0%
Uruguay,60%,30%,10%,10%
Ecuador,60%,40%,20%,0%
Ghana,60%,10%,0%,0%
Mexico,60%,30%,10%,10%
Senegal,60%,40%,20%,20%

Tabela: Most Carded Players
Player,Red,Yellow,Per 90
Robert Andrich,1,0,22.5
Seung-Won Jeong,1,0,15
Matteo De Brienne,1,0,11.25
Christopher Attys,1,0,11.25
Guus Til,1,1,10
Noah Okafor,1,0,8.18
Mustafa Eskihellaç,1,0,7.5
Stéphane Lambese,1,0,6.92
Adam Ounas,1,0,5
Niclas Eliasson,1,0,3.33

Tabela: Top Goalscorers - Last 15
Player,Goals,Played,Pens,Per 90
Erling Haaland,22,42,0,0.52
Mikel Oyarzabal,13,7,0,2.17
Marko Arnautović,10,9,0,1.35
Harry Kane,8,9,0,1.35
Mikel Merino,7,7,0,1.22
Kylian Mbappé,6,8,0,0.95
Cody Gakpo,6,10,0,0.66
Ali Iyad Olwan,6,8,0,0.93
Cristiano Ronaldo,6,7,0,1.04
Kevin De Bruyne,6,8,0,0.88
Breel Embolo,6,9,0,0.79
Lionel Messi,5,7,0,0.9
Lautaro Martinez,5,7,0,1.15
Michael Olise,5,9,0,0.68

Tabela: Top Assists - Last 15
Player,Assists,Played,Per 90
James Rodriguez,6,11,0.77
Arda Guler,6,9,0.81
Julian Ryerson,5,9,0.61
Jeremy Doku,5,10,0.64
Alexis Saelemaekers,5,8,1.32
Marcel Sabitzer,5,10,0.52
Nicolás González,4,9,0.73
Sadio Mané,4,9,0.48
Mikel Oyarzabal,4,9,0.54
Achraf Hakimi,4,8,0.59
Hakan Çalhanoğlu,4,9,0.62
Florian Wirtz,4,10,0.43
Bruno Fernandes,4,9,0.49
